14-ML BAYEUX VIRE	14762	506
14-ML CAEN	14327	512
14-ML HONFLEUR	14333	509
14-ML LISIEUX	14366	511
27-ML EVREUX	27229	594
27-ML OUEST EURE	27056	598
27-ML VAL DE REUIL	27701	600
27-ML VERNON SEINE VEXIN	27681	597
50-ML AVRANCHES	50025	505
50-ML CHERBOURG	50383	507
50-ML COUTANCES	50147	503
50-ML GRANVILLE	50218	502
50-ML ST LO	50502	510
61-ML ALENCON	61001	508
61-ML ARGENTAN	61006	501
61-ML FLERS	61169	504
61-ML L'AIGLE MORTAGNE	61214	500
76-ML DIEPPE COTE D'ALBATRE	76217	599
76-ML ELBEUF	76231	595
76-ML LE HAVRE	76351	596
76-ML LES GRANDES VENTES	76321	591
76-ML LILLEBONNE	76384	593
76-ML ROUEN	76540	592
76-ML YVETOT	76758	601
